y,x,d,t
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
-2,-2,-2,-2
11,5,0,0
-1,-1,0,0
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,1,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
12,1,0,5
-2,-2,-2,-2
-3,4,6,-3
10,1,0,2
10,19,0,2
12,1,0,3
12,19,0,3
-1,-1,-1,-1
-4,-4,-4,-4
20,11,2,4
1,11,3,5
-2,-2,-2,-2
-4,-4,-4,-4
20,11,1,4
1,10,3,5
-2,-2,-2,-2
-4,-4,-4,-4
20,12,1,4
1,9,3,5
-2,-2,-2,-2
-4,-4,-4,-4
20,12,1,4
1,8,3,5
-2,-2,-2,-2
-4,-4,-4,-4
20,12,2,4
1,8,0,5
-2,-2,-2,-2
-4,-4,-4,-4
19,12,2,4
2,8,0,5
-2,-2,-2,-2
-4,-4,-4,-4
18,12,2,4
3,8,0,5
-2,-2,-2,-2
-4,-4,-4,-4
17,12,2,4
4,8,0,5
-2,-2,-2,-2
-4,-4,-4,-4
17,12,3,4
5,8,0,5
-2,-2,-2,-2
-4,-4,-4,-4
17,11,3,4
5,8,1,5
-2,-2,-2,-2
-4,-4,-4,-4
17,11,2,4
5,9,1,5
-2,-2,-2,-2
-4,-4,-4,-4
16,11,2,4
5,9,0,5
-2,-2,-2,-2
-4,-4,-4,-4
16,11,2,4
6,9,0,5
-2,-2,-2,-2
-4,-4,-4,-4
16,11,3,4
6,9,0,5
-2,-2,-2,-2
-4,-4,-4,-4
16,10,3,4
6,9,1,5
-2,-2,-2,-2
-4,-4,-4,-4
16,10,2,4
6,9,0,5
-2,-2,-2,-2
-4,-4,-4,-4
15,10,2,4
6,9,0,5
-2,-2,-2,-2
-4,-4,-4,-4
15,10,1,4
6,9,1,5
-2,-2,-2,-2
-4,-4,-4,-4
15,10,2,4
6,10,1,5
-2,-2,-2,-2
-4,-4,-4,-4
15,10,1,4
6,10,0,5
-2,-2,-2,-2
-4,-4,-4,-4
15,10,2,4
7,10,0,5
-2,-2,-2,-2
-4,-4,-4,-4
14,10,2,4
8,10,0,5
-2,-2,-2,-2
-4,-4,-4,-4
14,10,1,4
8,10,3,5
-2,-2,-2,-2
-4,-4,-4,-4
14,11,1,4
8,10,2,5
-2,-2,-2,-2
-4,-4,-4,-4
14,12,1,4
8,10,3,5
-2,-2,-2,-2
-4,-4,-4,-4
14,12,0,4
8,9,3,5
-2,-2,-2,-2
-4,-4,-4,-4
14,12,1,4
8,9,2,5
-2,-2,-2,-2
-4,-4,-4,-4
14,13,1,4
8,9,3,5
-2,-2,-2,-2
-4,-4,-4,-4
14,13,0,4
8,8,3,5
-2,-2,-2,-2
-4,-4,-4,-4
14,13,0,4
8,8,2,5
-2,-2,-2,-2
-4,-4,-4,-4
14,13,1,4
8,8,3,5
-2,-2,-2,-2
-4,-4,-4,-4
14,13,0,4
8,8,2,5
-2,-2,-2,-2
-4,-4,-4,-4
14,13,1,4
8,8,3,5
-2,-2,-2,-2
-4,-4,-4,-4
14,14,1,4
8,7,3,5
-2,-2,-2,-2
-4,-4,-4,-4
14,14,2,4
8,6,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,14,2,4
8,6,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,14,1,4
8,6,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,14,2,4
9,6,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,14,1,4
9,6,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,14,2,4
9,6,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,14,1,4
10,6,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,14,2,4
10,6,3,5
-2,-2,-2,-2
-4,-4,-4,-4
12,14,2,4
10,6,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,14,2,4
11,6,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,14,1,4
11,6,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,15,1,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,15,0,4
11,5,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,15,1,4
11,5,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,15,0,4
-2,-2,-2,-2
11,5,0,0
-1,-1,0,0
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,15,1,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,15,0,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,15,1,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,15,0,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,15,1,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,15,0,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,15,1,4
11,4,2,5
-2,-2,-2,-2
-2,-2,-2,-2
11,15,0,0
-1,-1,0,0
-4,-4,-4,-4
11,16,1,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,0,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,16,1,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,0,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,17,1,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,0,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,18,1,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
11,19,1,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
11,19,2,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,4,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,3,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,2,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,2,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,1,3,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
11,1,0,5
-2,-2,-2,-2
-4,-4,-4,-4
10,19,2,4
12,1,0,5
-2,-2,-2,-2
-3,12,7,-3
10,1,0,2
10,19,0,3
12,1,0,3
12,19,0,2
17,8,0,2
17,9,0,2
17,10,0,2
17,11,0,2
17,12,0,2
18,8,0,2
18,9,0,2
18,10,0,2
18,11,0,2
18,12,0,2
19,8,0,2
19,9,0,2
19,10,0,2
19,11,0,2
19,12,0,2
20,8,0,2
20,9,0,2
20,10,0,2
20,11,0,2
20,12,0,2
21,8,0,2
21,9,0,2
21,10,0,2
21,11,0,2
21,12,0,2
-1,-1,-1,-1
-4,-4,-4,-4
20,9,2,4
2,9,0,5
-2,-2,-2,-2
-4,-4,-4,-4
20,9,1,4
2,9,3,5
-2,-2,-2,-2
-4,-4,-4,-4
20,10,1,4
2,8,3,5
-2,-2,-2,-2
-4,-4,-4,-4
20,10,0,4
2,8,3,5
-2,-2,-2,-2
-4,-4,-4,-4
21,10,0,4
2,8,0,5
-2,-2,-2,-2
-4,-4,-4,-4
21,10,0,4
3,8,0,5
-2,-2,-2,-2
-4,-4,-4,-4
21,10,1,4
3,8,3,5
-2,-2,-2,-2
-4,-4,-4,-4
21,11,1,4
3,8,0,5
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,4
4,8,0,5
-2,-2,-2,-2
-4,-4,-4,-4
21,12,1,4
